ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
57,,"Laysan Duck","LAYD","*","Anas laysanensis","ANALAY",
58,,"Spot-billed Duck","SBDU",,"Anas poecilorhyncha","ANAPOE",
59,,"Blue-winged Teal","BWTE",,"Anas discors","ANADIS",
60,,"Cinnamon Teal","CITE",,"Anas cyanoptera","ANACYA",
61,"+","Unidentified Teal","UNTE",,"Anas (sp)","ANASPE",
62,,"Northern Shoveler","NSHO","**","Anas clypeata","ANACLY",
63,,"White-cheeked Pintail","WCHP","*","Anas bahamensis","ANABAH",
64,,"Northern Pintail","NOPI",,"Anas acuta","ANAACU",
65,,"Garganey","GARG",,"Anas querquedula","ANAQUE",
66,,"Baikal Teal","BATE",,"Anas formosa","ANAFOR",
67,,"Green-winged Teal","GWTE",,"Anas crecca","ANACRE",
68,"+","American Green-winged Teal","AGWT",,"Anas c. carolinensis","ANACCA",
69,"+","Eurasian Green-winged Teal","EGWT",,"Anas c. crecca","ANACCR",
70,,"Canvasback","CANV",,"Aythya valisineria","AYTVAL",
71,,"Redhead","REDH",,"Aythya americana","AYTAME",
72,,"Common Pochard","CPOC","**","Aythya ferina","AYTFER",
73,,"Ring-necked Duck","RNDU",,"Aythya collaris","AYTCOL",
74,,"Tufted Duck","TUDU",,"Aythya fuligula","AYTFUL",
75,,"Greater Scaup","GRSC",,"Aythya marila","AYTMAR",
76,,"Lesser Scaup","LESC",,"Aythya affinis","AYTAFF",
77,,"Steller's Eider","STEI",,"Polysticta stelleri","POLSTE",
78,,"Spectacled Eider","SPEI",,"Somateria fischeri","SOMFIS",
79,,"King Eider","KIEI",,"Somateria spectabilis","SOMSPE",
80,,"Common Eider","COEI",,"Somateria mollissima","SOMMOL",
81,,"Harlequin Duck","HADU",,"Histrionicus histrionicus","HISHIS",
82,,"Labrador Duck","LABD","*","Camptorhynchus labradorius","CAMLAB",
83,,"Surf Scoter","SUSC",,"Melanitta perspicillata","MELPER",
84,,"White-winged Scoter","WWSC",,"Melanitta fusca","MELFUS",
85,,"Black Scoter","BLSC",,"Melanitta nigra","MENNIG","**"
86,,"Long-tailed Duck","LTDU",,"Clangula hyemalis","CLAHYE",
87,,"Bufflehead","BUFF",,"Bucephala albeola","BUCALB",
88,,"Common Goldeneye","COGO",,"Bucephala clangula","BUCCLA",
89,,"Barrow's Goldeneye","BAGO",,"Bucephala islandica","BUCISL",
90,,"Smew","SMEW",,"Mergellus albellus","MERALB",
91,,"Hooded Merganser","HOME",,"Lophodytes cucullatus","LOPCUC",
92,,"Common Merganser","COME",,"Mergus merganser","MERMER",
93,,"Red-breasted Merganser","RBME",,"Mergus serrator","MERSER",
94,,"Masked Duck","MADU",,"Nomonyx dominicus","NOMDOM",
95,,"Ruddy Duck","RUDU",,"Oxyura jamaicensis","OXYJAM",
96,"+","Unidentified Duck","UNDU",,"Anatinae (gen, sp)","ANAGSP",
97,,"Plain Chachalaca","PLCH",,"Ortalis vetula","ORTVET",
98,,"Gray-headed Chachalaca","GHEC","*","Ortalis cinereiceps","ORTCIN",
99,,"Rufous-vented Chachalaca","RVCH",,"Ortalis ruficauda","ORTRUF",
100,,"Rufous-bellied Chachalaca","RBEC","*","Ortalis wagleri","ORTWAG",
101,,"West Mexican Chachalaca","WMCH",,"Ortalis poliocephala","ORTPOL",
102,,"White-bellied Chachalaca","WBCH",,"Ortalis leucogastra","ORTLEU",
103,,"Crested Guan","CRGU",,"Penelope purpurascens","PENPUR",
104,,"Black Guan","BLAG","*","Chamaepetes unicolor","CHAUNI",
105,,"Highland Guan","HIGU",,"Penelopina nigra","PENNIG",
106,,"Horned Guan","HOGU",,"Oreophasis derbianus","OREDER",
107,,"Great Curassow","GRCU",,"Crax rubra","CRARUB",
108,,"Chukar","CHUK",,"Alectoris chukar","ALECHU",
109,,"Gray Francolin","GRAF","*","Francolinus pondicerianus","FRAPON",
110,,"Black Francolin","BLFR",,"Francolinus francolinus","FRAFRA",
111,,"Erckel's Francolin","ERFR",,"Francolinus erckelii","FRAERC",
112,,"Himalayan Snowcock","HISN",,"Tetraogallus himalayensis","TETHIM",
113,,"Gray Partridge","GRAP","*","Perdix perdix","PERPER",
114,,"Japanese Quail","JAQU",,"Coturnix japonica","COTJAP",
115,,"Red Junglefowl","REJU",,"Gallus gallus","GALGAS","*"
116,,"Kalij Pheasant","KAPH",,"Lophura leucomelanos","LOPLEU",
117,,"Ring-necked Pheasant","RNEP","*","Phasianus colchicus","PHACOL",
118,,"Common Peafowl","CPEA","**","Pavo cristatus","PAVCRI",
119,,"Ruffed Grouse","RUGR",,"Bonasa umbellus","BONUMB",
120,,"Greater Sage-Grouse","GRSG",,"Centrocercus urophasianus","CENURO",
121,,"Gunnison Sage-Grouse","GUSG",,"Centrocercus minimus","CENMIN",
122,,"Spruce Grouse","SPGR",,"Falcipennis canadensis","FALCAN",
123,,"Willow Ptarmigan","WIPT",,"Lagopus lagopus","LAGLAG",
124,,"Rock Ptarmigan","ROPT",,"Lagopus muta","LAGMUT",
125,,"White-tailed Ptarmigan","WTPT",,"Lagopus leucura","LAGLEU",
126,,"Dusky Grouse","DUGR",,"Dendragapus obscurus","DENOBS",
127,,"Sooty Grouse","SOGR",,"Dendragapus fuliginosus","DEGFUL","**"
