Common_Name,Code
"Black Catbird","BLCA"
"Northern Mockingbird","NOMO"
"Tropical Mockingbird","TRMO"
"Socorro Mockingbird","SOMO"
"Bahama Mockingbird","BAMO"
"Sage Thrasher","SATH"
"Brown Thrasher","BRTH"
"Long-billed Thrasher","LBTH"
"Cozumel Thrasher","COZT"
"Gray Thrasher","GRAT"
"Bendire's Thrasher","BETH"
"Ocellated Thrasher","OCTH"
"Curve-billed Thrasher","CBTH"
"California Thrasher","CATH"
"Crissal Thrasher","CRTH"
"Le Conte's Thrasher","LCTH"
"White-breasted Thrasher","WBTH"
"Blue Mockingbird","BLMO"
"Blue-and-white Mockingbird","BAWM"
"Scaly-breasted Thrasher","SBTH"
"Pearly-eyed Thrasher","PETH"
"Brown Trembler","BRTR"
"Gray Trembler","GRTR"
"European Starling","EUST"
"Common Myna","COMY"
"Hill Myna","HIMY"
"Siberian Accentor","SIAC"
"Eastern Yellow Wagtail","EYWA"
"Citrine Wagtail","CIWA"
"Gray Wagtail","GRAW"
"White Wagtail","WHWA"
"Tree Pipit","TRPI"
"Olive-backed Pipit","OBPI"
"Pechora Pipit","PEPI"
"Red-throated Pipit","RTPI"
"American Pipit","AMPI"
"Sprague's Pipit","SPPI"
"Yellowish Pipit","YEPI"
"Bohemian Waxwing","BOWA"
"Cedar Waxwing","CEDW"
"Black-and-yellow Silky-flycatcher","BAYS"
"Gray Silky-flycatcher","GRSF"
"Long-tailed Silky-flycatcher","LTSF"
"Phainopepla","PHAI"
"Palmchat","PALM"
"Olive Warbler","OLWA"
"Bachman's Warbler","BAWA"
"Blue-winged Warbler","BWWA"
"Brewster's Warbler","BRWA"
"Lawrence's Warbler","LAWA"
"Golden-winged Warbler","GWWA"
"Tennessee Warbler","TEWA"
"Orange-crowned Warbler","OCWA"
"Nashville Warbler","NAWA"
"Virginia's Warbler","VIWA"
"Colima Warbler","COLW"
"Lucy's Warbler","LUWA"
"Flame-throated Warbler","FTHW"
"Crescent-chested Warbler","CCWA"
"Northern Parula","NOPA"
"Tropical Parula","TRPA"
"Yellow Warbler","YWAR"
"Chestnut-sided Warbler","CSWA"
"Magnolia Warbler","MAWA"
"Cape May Warbler","CMWA"
"Black-throated Blue Warbler","BTBW"
"Yellow-rumped Warbler","YRWA"
"Myrtle Warbler","MYWA"
"Audubon's Warbler","AUWA"
"Black-throated Gray Warbler","BTYW"
"Golden-cheeked Warbler","GCWA"
"Black-throated Green Warbler","BTNW"
"Townsend's Warbler","TOWA"
"Townsend's x Hermit Warbler Hybrid","THWH"
"Hermit Warbler","HEWA"
"Blackburnian Warbler","BLBW"
"Yellow-throated Warbler","YTWA"
"Sutton's Warbler","SUWA"
"Grace's Warbler","GRWA"
"Adelaide's Warbler","ADWA"
"Barbuda Warbler","BARW"
"St. Lucia Warbler","SLWA"
"Olive-capped Warbler","OCAW"
"Pine Warbler","PIWA"
"Kirtland's Warbler","KIWA"
"Prairie Warbler","PRAW"
"Vitelline Warbler","VITW"
"Palm Warbler","PAWA"
"Western Palm Warbler","WPWA"
"Yellow Palm Warbler","YPWA"
"Bay-breasted Warbler","BBWA"
"Blackpoll Warbler","BLPW"
"Cerulean Warbler","CERW"
"Plumbeous Warbler","PLWA"
"Arrowhead Warbler","ARRW"
"Elfin-woods Warbler","EWWA"
"Whistling Warbler","WHIW"
"Black-and-white Warbler","BAWW"
"American Redstart","AMRE"
"Prothonotary Warbler","PROW"
"Worm-eating Warbler","WEWA"
"Swainson's Warbler","SWWA"
"Ovenbird","OVEN"
"Northern Waterthrush","NOWA"
"Louisiana Waterthrush","LOWA"
"Kentucky Warbler","KEWA"
"Connecticut Warbler","CONW"
"Mourning Warbler","MOWA"
"MacGillivray's Warbler","MGWA"
"Common Yellowthroat","COYE"
"Belding's Yellowthroat","BEYE"
"Altamira Yellowthroat","ALYE"
"Bahama Yellowthroat","BAYE"
"Olive-crowned Yellowthroat","OCYE"
"Black-polled Yellowthroat","BPYE"
"Hooded Yellowthroat","HOYE"
"Masked Yellowthroat","MAYE"
"Gray-crowned Yellowthroat","GCYE"
"Green-tailed Warbler","GTWA"
"Yellow-headed Warbler","YHWA"
"Oriente Warbler","ORWA"
"Semper's Warbler","SEWA"
"Hooded Warbler","HOWA"
"Wilson's Warbler","WIWA"
"Canada Warbler","CAWA"
"Red-faced Warbler","RFWA"
"Red Warbler","REWA"
"Pink-headed Warbler","PHWA"
"Painted Redstart","PARE"
"Slate-throated Redstart","STRE"
"Collared Redstart","COLR"
"Fan-tailed Warbler","FTWA"
"Golden-crowned Warbler","GCRW"
"Rufous-capped Warbler","RCWA"
"Golden-browed Warbler","GBWA"
"Black-cheeked Warbler","BCWA"
"Pirre Warbler","PIRW"
"Three-striped Warbler","TSWA"
"Buff-rumped Warbler","BURW"
"Wrenthrush","WRET"
"Yellow-breasted Chat","YBCH"
"Red-breasted Chat","RBRC"
"Gray-throated Chat","GTCH"
"White-winged Warbler","WWWA"
"Unidentified Warbler","UNWA"
"Bananaquit","BANA"
"White-eared Conebill","WECO"
"Puerto Rican Tanager","PRTA"
"Common Bush-Tanager","COBT"
"Tacarcuna Bush-Tanager","TABT"
"Pirre Bush-Tanager","PIBT"
"Sooty-capped Bush-Tanager","SCBT"
"Yellow-throated Bush-Tanager","YTBT"
"Ashy-throated Bush-Tanager","ATBT"
"Yellow-backed Tanager","YBTA"
"Black-and-yellow Tanager","BAYT"
"Black-crowned Palm-Tanager","BPLT"
"Gray-crowned Palm-Tanager","GCPT"
"Western Chat-Tanager","WECT"
"Eastern Chat-Tanager","EACT"
"Rosy Thrush-Tanager","ROTT"
"Dusky-faced Tanager","DFTA"
"Olive Tanager","OLTA"
"Lemon-spectacled Tanager","LSTA"
"Gray-headed Tanager","GHET"
"Black-throated Shrike-Tanager","BTST"
"White-throated Shrike-Tanager","WTST"
"Sulphur-rumped Tanager","SRTA"
"Scarlet-browed Tanager","SBTA"
"White-shouldered Tanager","WSTA"
"Tawny-crested Tanager","TCTA"
"White-lined Tanager","WLTA"
"Red-crowned Ant-Tanager","RCAT"
"Red-throated Ant-Tanager","RTAT"
"Black-cheeked Ant-Tanager","BCAT"
"Rose-throated Tanager","RTTA"
"Hepatic Tanager","HETA"
"Summer Tanager","SUTA"
"Scarlet Tanager","SCTA"
"Western Tanager","WETA"
"Flame-colored Tanager","FCTA"
"White-winged Tanager","WWTA"
"Red-headed Tanager","RHTA"
"Unidentified Piranga Tanager","UPTA"
"Crimson-collared Tanager","CCTA"
"Crimson-backed Tanager","CBTA"
"Passerini's Tanager","PAST"
"Cherrie's Tanager","CHET"
"Flame-rumped Tanager","FRTA"
"Western Spindalis","WESP"
"Jamaican Spindalis","JAMS"
"Hispaniolan Spindalis","HISP"
"Puerto Rican Spindalis","PRSP"
"Blue-gray Tanager","BGTA"
"Yellow-winged Tanager","YWTA"
"Palm Tanager","PALT"
"Blue-and-gold Tanager","BAGT"
"Plain-colored Tanager","PCTA"
"Azure-rumped Tanager","ARTA"
"Gray-and-gold Tanager","GAGT"
"Emerald Tanager","EMTA"
"Silver-throated Tanager","STTA"
"Speckled Tanager","SPTA"
"Bay-headed Tanager","BHTA"
"Rufous-winged Tanager","RWTA"
"Lesser Antillean Tanager","LATA"
"Golden-hooded Tanager","GHOT"
"Spangle-cheeked Tanager","SCHT"
"Green-naped Tanager","GNTA"
"Scarlet-thighed Dacnis","STDA"
"Blue Dacnis","BLDA"
"Viridian Dacnis","VIDA"
"Green Honeycreeper","GRHO"
"Shining Honeycreeper","SHHO"
"Purple Honeycreeper","PUHO"
"Red-legged Honeycreeper","RLHO"
"Swallow Tanager","SWTA"
"Blue-black Grassquit","BGRA"
"Slate-colored Seedeater","SCSE"
"Variable Seedeater","VASE"
"White-collared Seedeater","WCSE"
"Yellow-bellied Seedeater","YBSE"
"Ruddy-breasted Seedeater","RBSE"
"Nicaraguan Seed-Finch","NISF"
"Thick-billed Seed-Finch","TBSF"
"Blue Seedeater","BLSE"
"Cuban Bullfinch","CUBU"
"Cuban Grassquit","CUGR"
"Yellow-faced Grassquit","YFGR"
"Black-faced Grassquit","BFGR"
"Yellow-shouldered Grassquit","YSGR"
"Puerto Rican Bullfinch","PRBU"
"Greater Antillean Bullfinch","GABU"
"Lesser Antillean Bullfinch","LANB"
"Barbados Bullfinch","BABU"
"Orangequit","ORAN"
"St. Lucia Black Finch","SLBF"
"Cocos Finch","COFI"
"Slaty Finch","SLFI"
"Peg-billed Finch","PBFI"
"Cinnamon-bellied Flowerpiercer","CBFL"
"Slaty Flowerpiercer","SLFL"
"Saffron Finch","SAFI"
"Grassland Yellow-Finch","GRYF"
"Wedge-tailed Grass-Finch","WTGF"
"Red-crested Cardinal","RCCA"
"Yellow-billed Cardinal","YBCA"
"Sooty-faced Finch","SFFI"
"Yellow-thighed Finch","YTFI"
"Yellow-green Finch","YGFI"
"Large-footed Finch","LFFI"
"White-naped Brush-Finch","WNBF"
"Rufous-capped Brush-Finch","RCBF"
"Chestnut-capped Brush-Finch","CCBF"
"Green-striped Brush-Finch","GSBF"
"Stripe-headed Brush-Finch","SHBF"
"Orange-billed Sparrow","OBSP"
"Olive Sparrow","OLSP"
"Green-backed Sparrow","GBSP"
"Black-striped Sparrow","BSTS"
"Rusty-crowned Ground-Sparrow","RCGS"
"Prevost's Ground-Sparrow","PRGS"
"White-eared Ground-Sparrow","WEGS"
"Green-tailed Towhee","GTTO"
"Collared Towhee","COTO"
"Spotted Towhee","SPTO"
"Rufous-sided Towhee","RSTO"
"Eastern Towhee","EATO"
"White-throated Towhee","WTTO"
"Canyon Towhee","CANT"
"California Towhee","CALT"
"Abert's Towhee","ABTO"
"Stripe-headed Sparrow","SHSP"
"Black-chested Sparrow","BCHS"
"Bridled Sparrow","BRIS"
"Cinnamon-tailed Sparrow","CTSP"
"Rufous-winged Sparrow","RWSP"
"Cassin's Sparrow","CASP"
"Bachman's Sparrow","BACS"
"Botteri's Sparrow","BOSP"
"Rufous-crowned Sparrow","RCSP"
"Rusty Sparrow","RUSP"
"Oaxaca Sparrow","OASP"
"Five-striped Sparrow","FSSP"
"Striped Sparrow","SSPA"
"Zapata Sparrow","ZASP"
"American Tree Sparrow","ATSP"
"Chipping Sparrow","CHSP"
"Clay-colored Sparrow","CCSP"
"Brewer's Sparrow","BRSP"
"Field Sparrow","FISP"
"Worthen's Sparrow","WOSP"
"Black-chinned Sparrow","BCSP"
"Vesper Sparrow","VESP"
"Lark Sparrow","LASP"
"Black-throated Sparrow","BTSP"
"Sage Sparrow","SAGS"
"Lark Bunting","LARB"
"Savannah Sparrow","SAVS"
"Ipswich Sparrow","IPSP"
"Belding's Savannah Sparrow","BSSP"
"Large-billed Sparrow","LBSP"
"Grasshopper Sparrow","GRSP"
"Florida Grasshopper Sparrow","FGSP"
"Baird's Sparrow","BAIS"
"Henslow's Sparrow","HESP"
"Le Conte's Sparrow","LCSP"
"Nelson's Sharp-tailed Sparrow","NSTS"
"Sharp-tailed Sparrow","STSP"
"Saltmarsh Sharp-tailed Sparrow","SSTS"
"Seaside Sparrow","SESP"
"Dusky Seaside-Sparrow","DUSS"
"Cape Sable Seaside-Sparrow","CSSS"
"Sierra Madre Sparrow","SMSP"
"Fox Sparrow","FOSP"
"Song Sparrow","SOSP"
"Lincoln's Sparrow","LISP"
"Swamp Sparrow","SWSP"
"Rufous-collared Sparrow","RCOS"
"White-throated Sparrow","WTSP"
"Harris's Sparrow","HASP"
"White-crowned Sparrow","WCSP"
"Eastern White-crowned Sparrow","EWCS"
"Mountain White-crowned Sparrow","MWCS"
"Gambel's White-crowned Sparrow","GWCS"
"Puget Sound White-crowned Sparrow","PSWS"
"Nuttall's White-crowned Sparrow","NWCS"
"White-cr. X Golden-cr. Sparrow Hybrid","WGSH"
"Golden-crowned Sparrow","GCSP"
"Volcano Junco","VOJU"
"Dark-eyed Junco","DEJU"
"Slate-colored Junco","SCJU"
"White-winged Junco","WWJU"
"Oregon Junco","ORJU"
"Gray-headed Junco","GHJU"
"Yellow-eyed Junco","YEJU"
"Unidentified Sparrow","UNSP"
"McCown's Longspur","MCLO"
"Lapland Longspur","LALO"
"Smith's Longspur","SMLO"
"Chestnut-collared Longspur","CCLO"
"Pine Bunting","PIBU"
"Little Bunting","LIBU"
"Rustic Bunting","RUBU"
"Yellow-throated Bunting","YTBU"
"Yellow-breasted Bunting","YBBU"
"Gray Bunting","GRBU"
"Pallas's Bunting","PALB"
"Reed Bunting","REBU"
"Snow Bunting","SNBU"
"McKay's Bunting","MKBU"
"Lesser Antillean Saltator","LASA"
"Streaked Saltator","SSAL"
"Grayish Saltator","GRAS"
"Buff-throated Saltator","BTSA"
"Black-headed Saltator","BHSA"
"Slate-colored Grosbeak","SCOG"
"Black-faced Grosbeak","BFAG"
"Yellow-green Grosbeak","YGGR"
"Crimson-collared Grosbeak","CCGR"
"Northern Cardinal","NOCA"
"Pyrrhuloxia","PYRR"
"Yellow Grosbeak","YEGR"
"Black-thighed Grosbeak","BTGG"
"Rose-breasted Grosbeak","RBGR"
"Black-headed Grosbeak","BHGR"
"Blue-black Grosbeak","BGRO"
"Blue Bunting","BLBU"
"Blue Grosbeak","BLGR"
"Lazuli Bunting","LAZB"
"Lazuli x Indigo Bunting Hybrid","LIBH"
"Indigo Bunting","INBU"
"Rose-bellied Bunting","RBBU"
"Orange-breasted Bunting","OBBU"
"Varied Bunting","VABU"
"Painted Bunting","PABU"
"Dickcissel","DICK"
"Bobolink","BOBO"
"Red-winged Blackbird","RWBL"
"Red-shouldered Blackbird","RSBL"
"Tricolored Blackbird","TRBL"
"Tawny-shouldered Blackbird","TSBL"
"Yellow-shouldered Blackbird","YSBL"
"Jamaican Blackbird","JABL"
"Red-breasted Blackbird","RBBL"
"Eastern Meadowlark","EAME"
"Western Meadowlark","WEME"
"Yellow-headed Blackbird","YHBL"
"Melodious Blackbird","MEBL"
"Cuban Blackbird","CUBL"
"Rusty Blackbird","RUBL"
"Brewer's Blackbird","BRBL"
"Common Grackle","COGR"
"Boat-tailed Grackle","BTGR"
"Great-tailed Grackle","GTGR"
"Slender-billed Grackle","SBGR"
"Nicaraguan Grackle","NIGR"
"Greater Antillean Grackle","GAGR"
"Carib Grackle","CAGR"
"Shiny Cowbird","SHCO"
"Bronzed Cowbird","BROC"
"Brown-headed Cowbird","BHCO"
"Giant Cowbird","GICO"
"Unidentified Blackbird","UNBL"
"Greater Antillean Oriole","GAOR"
"St. Lucia Oriole","SLOR"
"Montserrat Oriole","MORI"
"Martinique Oriole","MAOR"
"Black-vented Oriole","BVOR"
"Bar-winged Oriole","BWOR"
"Black-cowled Oriole","BCOR"
"Orchard Oriole","OROR"
"Hooded Oriole","HOOR"
"Yellow-backed Oriole","YBOR"
"Orange-crowned Oriole","OCOR"
"Yellow-tailed Oriole","YTOR"
"Troupial","TROU"
"Streak-backed Oriole","SBAO"
"Bullock's Oriole","BUOR"
"Bullock's x Baltimore Oriole Hybrid","BBOH"
"Orange Oriole","ORAO"
"Jamaican Oriole","JAOR"
"Spot-breasted Oriole","SBOR"
"Altamira Oriole","ALOR"
"Audubon's Oriole","AUOR"
"Baltimore Oriole","BAOR"
"Black-backed Oriole","BBOR"
"Scott's Oriole","SCOR"
"Yellow-billed Cacique","YBIC"
"Scarlet-rumped Cacique","SRCA"
"Yellow-rumped Cacique","YRCA"
"Yellow-winged Cacique","YWCA"
"Crested Oropendola","CROR"
"Chestnut-headed Oropendola","CHOR"
"Montezuma Oropendola","MOTO"
"Black Oropendola","BLOR"
"Common Chaffinch","COCH"
"Brambling","BRAM"
"Jamaican Euphonia","JAEU"
"Scrub Euphonia","SEUP"
"Yellow-crowned Euphonia","YCEU"
"Thick-billed Euphonia","TBEU"
"Yellow-throated Euphonia","YTEU"
"Antillean Euphonia","ANEU"
"Elegant Euphonia","ELEU"
"Fulvous-vented Euphonia","FVEU"
"Spot-crowned Euphonia","SPCE"
"Olive-backed Euphonia","OBAE"
"White-vented Euphonia","WVEU"
"Tawny-capped Euphonia","TCEU"
"Orange-bellied Euphonia","OBEE"
"Yellow-collared Chlorophonia","YCCH"
"Blue-crowned Chlorophonia","BCRC"
"Golden-browed Chlorophonia","GBCH"
"Gray-crowned Rosy-Finch","GCRF"
"Black Rosy-Finch","BLRF"
"Brown-capped Rosy-Finch","BCRF"
"Pine Grosbeak","PIGR"
"Common Rosefinch","CORO"
"Purple Finch","PUFI"
"Cassin's Finch","CAFI"
"House Finch","HOFI"
"Unidentified Carpodacus Finch","UCFI"
"Red Crossbill","RECR"
"Hispaniolan Crossbill","HICR"
"White-winged Crossbill","WWCR"
"Common Redpoll","CORE"
"Common/Hoary Redpoll","CHRE"
"Hoary Redpoll","HORE"
"Eurasian Siskin","EUSI"
"Pine Siskin","PISI"
"Black-capped Siskin","BCSI"
"Black-headed Siskin","BHSI"
"Yellow-bellied Siskin","YBSI"
"Red Siskin","RESI"
"Antillean Siskin","ANSI"
"Lesser Goldfinch","LEGO"
"Lawrence's Goldfinch","LAGO"
"American Goldfinch","AMGO"
"European Goldfinch","EUGO"
"Oriental Greenfinch","ORGR"
"Yellow-fronted Canary","YFCA"
"Common Canary","COCA"
"Eurasian Bullfinch","EUBU"
"Hooded Grosbeak","HOOG"
"Evening Grosbeak","EVGR"
"Hawfinch","HAWF"
"Laysan Finch","LAFI"
"Nihoa Finch","NIFI"
"Ou","OU"
"Lanai Hookbill","LAHO"
"Palila","PALI"
"Lesser Koa-Finch","LEKF"
"Greater Koa-Finch","GRKF"
"Kona Grosbeak","KOGR"
"Maui Parrotbill","MAPA"
"Hawaii Amakihi","HAAM"
"Oahu Amakihi","OAAM"
"Kauai Amakihi","KAAM"
"Anianiau","ANIA"
"Greater Amakihi","GRAM"
"Lesser Akialoa","LEAK"
"Greater Akialoa","GAKI"
"Nukupuu","NUKU"
"Akiapolaau","AKIA"
"Akikiki","AKIK"
"Hawaii Creeper","HCRE"
"Oahu Alauahio","OAAL"
"Kakawahie","KAKA"
"Maui Alauahio","MAAL"
"Akekee","AKEK"
"Akepa","AKEP"
"Ula-ai-hawane","UAIH"
"Iiwi","IIWI"
"Hawaii Mamo","HAMA"
"Black Mamo","BLMA"
"Akohekohe","AKOH"
"Apapane","APAP"
"Poo-uli","POUL"
"House Sparrow","HOSP"
"Eurasian Tree Sparrow","ETSP"
"Village Weaver","VIWE"
"Orange Bishop","ORBI"
"Yellow-crowned Bishop","YCBI"
"Red-cheeked Cordonbleu","RCCO"
"Lavender Waxbill","LAVW"
"Orange-cheeked Waxbill","OCHW"
"Black-rumped Waxbill","BRUW"
"Common Waxbill","COMW"
"Red Avadavat","REAV"
"Indian Silverbill","INSI"
"African Silverbill","AFSI"
"Bronze Mannikin","BRMA"
"Nutmeg Mannikin","NUMA"
"Tricolored Munia","TRMU"
"Chestnut Munia","CHMU"
"Java Sparrow","JASP"
"Pin-tailed Whydah","PTWH"
"Unidentified Bird","UNBI"
"Crested Myna","CRMY"
