Common_Name,Code
"Green Ibis","GRIB"
"Buff-necked Ibis","BNIB"
"Roseate Spoonbill","ROSP"
"Jabiru","JABI"
"Wood Stork","WOST"
"Black Vulture","BLVU"
"Turkey Vulture","TUVU"
"Lesser Yellow-headed Vulture","LYHV"
"California Condor","CACO"
"King Vulture","KIVU"
"Greater Flamingo","GFLA"
"Osprey","OSPR"
"Gray-headed Kite","GHKI"
"Hook-billed Kite","HBKI"
"Swallow-tailed Kite","STKI"
"Pearl Kite","PEKI"
"White-tailed Kite","WTKI"
"Snail Kite","SNKI"
"Slender-billed Kite","SBKI"
"Double-toothed Kite","DTKI"
"Mississippi Kite","MIKI"
"Plumbeous Kite","PLKI"
"Black Kite","BLAK"
"Bald Eagle","BAEA"
"White-tailed Eagle","WTEA"
"Steller's Sea-Eagle","STSE"
"Black-collared Hawk","BCHA"
"Northern Harrier","NOHA"
"Western Marsh Harrier","WMHA"
"Gray Frog-Hawk","GRFH"
"Tiny Hawk","TIHA"
"Sharp-shinned Hawk","SSHA"
"Cooper's Hawk","COHA"
"Gundlach's Hawk","GUHA"
"Bicolored Hawk","BIHA"
"Northern Goshawk","NOGO"
"Unidentified Accipiter Hawk","UAHA"
"Crane Hawk","CRHA"
"Plumbeous Hawk","PLHA"
"Barred Hawk","BAHA"
"Semiplumbeous Hawk","SEHA"
"White Hawk","WHHA"
"Common Black-Hawk","COBH"
"Mangrove Black-Hawk","MABH"
"Great Black-Hawk","GRBH"
"Savanna Hawk","SAHA"
"Harris's Hawk","HASH"
"Solitary Eagle","SOEA"
"Roadside Hawk","ROHA"
"Red-shouldered Hawk","RSHA"
"Ridgway's Hawk","RIHA"
"Broad-winged Hawk","BWHA"
"Gray Hawk","GRHA"
"Short-tailed Hawk","STHA"
"Swainson's Hawk","SWHA"
"White-tailed Hawk","WTHA"
"Zone-tailed Hawk","ZTHA"
"Hawaiian Hawk","HAWH"
"Red-tailed Hawk","RTHA"
"Harlan's Hawk","HALH"
"Ferruginous Hawk","FEHA"
"Rough-legged Hawk","RLHA"
"Crested Eagle","CREA"
"Harpy Eagle","HAEA"
"Golden Eagle","GOEA"
"Black-and-white Hawk-Eagle","BAWH"
"Black Hawk-Eagle","BLHE"
"Ornate Hawk-Eagle","ORHE"
"Unidentified Hawk","UNHA"
"Barred Forest-Falcon","BAFF"
"Slaty-backed Forest-Falcon","SBFF"
"Collared Forest-Falcon","COFF"
"Red-throated Caracara","RTCA"
"Crested Caracara","CRCA"
"Guadalupe Caracara","GUCA"
"Yellow-headed Caracara","YHCA"
"Laughing Falcon","LAFA"
"Eurasian Kestrel","EUKE"
"American Kestrel","AMKE"
"Merlin","MERL"
"Eurasian Hobby","EHOB"
"Aplomado Falcon","APFA"
"Bat Falcon","BAFA"
"Orange-breasted Falcon","OBFA"
"Gyrfalcon","GYRF"
"Peregrine Falcon","PEFA"
"Prairie Falcon","PRFA"
"Yellow Rail","YERA"
"Ocellated Crake","OCCR"
"Ruddy Crake","RUCR"
"White-throated Crake","WTCR"
"Gray-breasted Crake","GBCR"
"Black Rail","BLRA"
"Corn Crake","CORC"
"Clapper Rail","CLRA"
"King Rail","KIRA"
"Virginia Rail","VIRA"
"Rufous-necked Wood-Rail","RUWR"
"Gray-necked Wood-Rail","GNWR"
"Uniform Crake","UNIC"
"Laysan Rail","LARA"
"Spotted Crake","SPCR"
"Sora","SORA"
"Hawaiian Rail","HARA"
"Yellow-breasted Crake","YBCR"
"Colombian Crake","COLC"
"Paint-billed Crake","PBCR"
"Zapata Rail","ZARA"
"Spotted Rail","SPRA"
"Purple Gallinule","PUGA"
"Azure Gallinule","AZGA"
"Common Moorhen","COMO"
"Hawaiian Moorhen","HAMO"
"Eurasian Coot","EUCO"
"Hawaiian Coot","HACO"
"American Coot","AMCO"
"Caribbean Coot","CARC"
"Sungrebe","SUNG"
"Sunbittern","SUNB"
"Limpkin","LIMP"
"Sandhill Crane","SACR"
"Common Crane","COMC"
"Whooping Crane","WHCR"
"Double-striped Thick-knee","DSTK"
"Northern Lapwing","NOLA"
"Southern Lapwing","SOLA"
"Black-bellied Plover","BBPL"
"European Golden-Plover","EUGP"
"American Golden-Plover","AMGP"
"Lesser Golden-Plover","LEGP"
