Data_ID,Event_ID,Species,Num_ Observed,Age,Composition,Breeding_Plumage,Breeding_Status,Data_Location_ID,Notes
"20070506183552-151339054.107666","20070506163624-352360904.216766","MAMU",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-151448130.607605","20070506163624-793247520.923615","WATA",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-15157580.3756714","20070506163624-394446194.171906","UNYE",1.0000000000000000e+00,"Unk","Unk",,"X",,"Yellowlegs sp."
"20070506183552-151656985.282898","20070506163624-524598896.503448","EUWI",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-15187382.6980591","20070506163624-598088562.488556","BUFF",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-152051448.822021","20070506163624-584239065.647125","GWGU",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-152457594.871521","20070506163624-39033949.3751526","BAEA",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-152599811.553955","20070506163624-998484313.488007","BAEA",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-152605652.809143","20070506163624-505815804.004669","NOCR",6.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-152676820.755005","20070506163624-249973237.514496","ULGU",3.8000000000000000e+01,"Unk","Unk",,"O",,"structured"
"20070506183552-153135180.473328","20070506163624-327914297.580719","HERG",1.0000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-153231620.788574","20070506175816-627642035.484314","MALL",7.3000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-153261780.738831","20070506163624-952460110.187531","ULGU",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-153516650.19989","20070506163624-394142210.483551","MALL",3.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-153524160.385132","20070506163624-205353081.226349","ULGU",2.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-154295563.697815","20070506163624-371118009.090424","UNSB",1.0900000000000000e+02,"Unk","Unk",,"O",,"Unidentified shorebird.  Count approximate, likely more; various flocks moving through, largest numbers to date."
"20070506183552-154509902.000427","20070506163624-376609861.850739","BUFF",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-154606938.362122","20070506163624-953128993.5112","MAMU",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-154643893.241882","20070506175816-56236863.1362915","MALL",6.0000000000000000e+00,"Ad","M",,"O",,
"20070506183552-155249595.64209","20070506163624-686908066.272736","AMWI",7.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-155435681.343079","20070506163624-461559355.258942","RBME",1.9000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-15604853.6300659","20070506175816-798884391.784668","HERG",5.5000000000000000e+01,"Unk","Unk",,"O",,
"20070506183552-156589984.893799","20070506163624-875327527.523041","BUFF",1.0000000000000000e+00,"Ad","F",,"P",,"Paired."
"20070506183552-157044768.333435","20070506163624-87103068.8285828","NOCR",4.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-157227635.383606","20070506175816-543360590.934753","COME",1.0000000000000000e+00,"Unk","Unk",,"O",,
"20070506183552-159834265.708923","20070506163624-579042971.134186","BAEA",1.0000000000000000e+00,"Ad","Unk",,"O",,
