Event_ID,Contact_ID,Contact_Role
"{8A2CC851-3D40-4D0B-9F98-DA378CAE7A96}","20080710124324-533424019.813538",
"{404B2D3F-5E4B-4D29-BD22-1F54E1768242}","20080710124324-533424019.813538",
"{8534F360-F927-4F20-B74B-128F589D774A}","20080710124324-533424019.813538",
"{A4AC88A8-1A52-4B6E-8127-94B54BA77011}","20080710124324-533424019.813538",
"{29CF7CCF-509F-49DC-9C5C-DECD3054D4AD}","20080710124324-533424019.813538",
"{03EF601D-7B9E-448F-A76A-D734D862A67C}","20080710124324-533424019.813538",
"{F89E95D1-9087-476F-8927-4B5335C9EA23}","20080710124324-533424019.813538",
"{C6774C20-8061-4AF6-9C7A-E56BE2BB6696}","20080710124324-533424019.813538",
"{BCAFF858-F83F-4B30-B208-48670D6C83E3}","20080710124324-533424019.813538",
"{D0AAF7B4-3169-455B-91FB-22A7DC7274D1}","20080710124324-533424019.813538",
"{11D4C291-732B-4C5D-8484-46EB435F26E2}","20080710124324-533424019.813538",
"{BCA45A72-E081-4020-80C6-EA9BBDA775C1}","20080710124324-533424019.813538",
"{F89E95D1-9087-476F-8927-4B5335C9EA23}","20080710124324-533424019.813538",
"{C416054A-A06D-4B37-8DBD-B47052E9D9B3}","20080710124324-533424019.813538",
"{01752FBB-F662-40C6-8FBA-0C3D4F903B73}","20080710124324-533424019.813538",
"{2BE6F5D4-E550-4371-8658-DBD805B2A8E5}","20080710124324-533424019.813538",
"{07D1CA95-116A-4F4B-B48B-3F2D9DA9C086}","20080710124324-533424019.813538",
"{5FB79928-C329-460C-8D55-7AEB6898B39A}","20080710124324-533424019.813538",
"{79E649ED-7568-4A76-AB2B-BDB219DBB81A}","20080710124324-533424019.813538",
"{0742E2E0-2900-4B92-93B0-C4BD4866793C}","20080710124324-533424019.813538",
"{D6229DF9-02E4-405C-B97C-673BF6B2E100}","20080710124324-533424019.813538",
"{7BE4E8F6-06CD-4D5D-B92B-62D4E5043ED1}","20080710124324-533424019.813538",
"{A37758B3-B4D2-491B-9112-AFC47EB46341}","20080710124324-533424019.813538",
"{E4156F67-31CD-4393-8300-A4949B9CFDA0}","20080710124324-533424019.813538",
"{178BD73B-93D7-43AC-AA60-2C01FE627599}","20080710124324-533424019.813538",
"{21141EFB-E3F1-48AC-B89C-7F595D7CF282}","20080710124324-533424019.813538",
